Name,Description,Street,Interior Number,Zip Code,Country,State,City,Rooms,Bathrooms,Area,Available,Verified,Type,RSA,Lat,Lng,Price,Images
El Campanario Club de Golf,Residencia ubicada en uno de los fraccionamientos más exclusivos de Querétaro: El Campanario Residencial & Club de Golf.,Campanario de la Merced,SN,76146,Mexico,Querétaro,Querétaro,5,6,729,TRUE,TRUE,Casa,Century 21,20.624654,-100.3387886,17000000,"https://cdn.21online.lat/mexico/cache/awsTest1/rc/V5H8nEtl/uploads/379/propiedades/364872/5f0cad277e6ea.jpg,https://cdn.21online.lat/mexico/cache/awsTest1/rc/ddo4La6X/uploads/379/propiedades/364872/5f0cad187942a.jpg"
Villas del Real,"Villas del real es un condominio que esta ubicado en una de las zonas de mayor crecimiento dentro del estado de Querétaro, en la zona de ciudad del sol desarrollaremos un lugar donde las familias podrán tener seguridad, accesos controlado, área común, zona comercial, privacidad.","av de la cantera , Fraccionamiento Ciudad del Sol, Querétaro, Querétaro .",100,76148,Mexico,Querétaro,Querétaro,3,2,94,TRUE,TRUE,Casa,inmuebles24,20.6399947,-100.4957011,"1,533,000","https://img10.naventcdn.com/avisos/resize/18/00/64/85/61/05/1200x1200/330342191.jpg,https://img10.naventcdn.com/avisos/resize/18/00/64/85/61/05/1200x1200/330342192.jpg,https://img10.naventcdn.com/avisos/resize/18/00/64/85/61/05/1200x1200/330342193.jpg"
Paseos de ziaka pte,"Modelo: lyra --- un nuevo fraccionamiento ideal para el bienestar de tus seres queridos, donde lo más importante para nosotros es que al mirar hacia atrás tengas el mejor de los recuerdos en este increíble hogar.","Paseos de ziaka pte #4000, Colonia Santiago, C.P. 76120",4000,76120,Mexico,Querétaro,Querétaro,2,2,102,TRUE,TRUE,Casa,Propiedades,20.6514861,-100.3155443,"1,647,000","https://propiedadescom.s3.amazonaws.com/files/original/paseos-de-ziaka-poniente-4000-santiago-queretaro-queretaro-25415699-foto-01.jpg,https://propiedadescom.s3.amazonaws.com/files/original/paseos-de-ziaka-poniente-4000-santiago-queretaro-queretaro-25415699-foto-02.jpg,https://propiedadescom.s3.amazonaws.com/files/original/paseos-de-ziaka-poniente-4000-santiago-queretaro-queretaro-25415699-foto-04.jpg"
BLVD. PEÑA FLOR,"Residencial enfocado en la calidad de vida de sus habitantes, brindando espacios de convivencia familiar, comodidad y seguridad. *doble filtro de seguridad: pórtico de acceso *privadas cerradas *alberca y palapa por privada *viviendas con roof garden *juegos infantiles *áreas verdes *pet friendly *centros comerciales cercanos *escuelas cercanas *fácil acceso a vialidades principales:bernando quintanalibramiento norponiente","BLVD. PEÑA FLOR #891, Colonia Ciudad del Sol, C.P. 76116",891,76116,Mexico,Querétaro,Querétaro,3,1,91.53,TRUE,TRUE,Casa,Propiedades,20.6174837,-100.4530041,"1,570,000","https://propiedadescom.s3.amazonaws.com/files/original/calle-paseo-de-bugambilias-santiago-queretaro-queretaro-25415524-foto-02.jpg, https://propiedadescom.s3.amazonaws.com/files/original/calle-paseo-de-bugambilias-santiago-queretaro-queretaro-25415524-foto-01.jpg,https://propiedadescom.s3.amazonaws.com/files/original/calle-paseo-de-bugambilias-santiago-queretaro-queretaro-25415524-foto-03.jpg"
San Francisco Juriquilla,En los robles juriquilla nuestras casas están construidas con tabiquerojo y tienen muros independientesacabados de lujo mármol enescaleras y baños pisos de porcelanato de 60x60 cms cocinaequipada con cubierta de granito.modelo maple3 recamaras 2 1⁄2 baños barandales de escalera de acero inoxidabley/o cristal templado.la recamara principal cuenta con vestidor y baño preparación paraponer un aire acondicionado si así lo desean,"San Francisco Juriquilla, Colonia San Francisco Juriquilla, C.P. 76230",SN,76230,Mexico,Querétaro,Querétaro,3,2,126,TRUE,TRUE,Casa,Propiedades,20.6945791,-100.4537724,"2,600,000",", https://propiedadescom.s3.amazonaws.com/files/original/san-francisco-juriquilla-queretaro-queretaro-25344076-foto-07.jpg,https://propiedadescom.s3.amazonaws.com/files/original/san-francisco-juriquilla-queretaro-queretaro-25344076-foto-10.jpg"
Juriquilla Condominio Dolce,"Casa habitación en Juriquilla a la altura de Home Depot, en Planta Alta consta de 3 recamaras, la principal con baño completo y mini split, una recamara secundaria con mezzanine y junto con la tercer recamara comparten baño, sala de tv con terraza, en Planta baja, oficina con pequeño closet, cocina concepto abierto barra de granito, sala, comedor, baño de visitas, àrea de lavado, estacionamiento para 2 autos con pequeña area jardinada, el Fraccionamiento cuenta con alberca y salon de usos multiples, baños vestidores y estacionamiento para visitas, Excelente ubicación, a 5 min de Antea, hospitales, hoteles, supermecados, escuelas, enfrente de Home Depot y Hospital Moscati, vialidades principales con fácil acceso, ven a conocer tú nuevo hogar!",San Francisco Juriquilla,SN,76230,Mexico,Querétaro,Querétaro,3,2,150,TRUE,TRUE,Casa,Century21,20.6840361,-100.4431664,"3,750,000","https://cdn.21online.lat/mexico/cache/awsTest1/rc/c3HhLksu/uploads/400/propiedades/452441/62ffc2197e593.jpeg,https://cdn.21online.lat/mexico/cache/awsTest1/rc/MXfGHasb/uploads/400/propiedades/452441/62ffc26e98bbc.jpeg,https://cdn.21online.lat/mexico/cache/awsTest1/rc/uKMkzcpk/uploads/400/propiedades/452441/62ffc2707eb31.jpeg,https://cdn.21online.lat/mexico/cache/awsTest1/rc/Fbl6DaJu/uploads/400/propiedades/452441/62be440532ea3.jpeg"
Jurica Misiones,Planta baja: recamara o estudio con baño completo y closet sala comedorcocina integral alacena terraza techada jardín baño de visitas cuarto de servicio con closet y baño completo bodega.planta alta: tres amplias habitaciones con baño completo y closet la habitación principal con amplio vestidor cuarto de tv closets de blancos y toma de agua para facilitar el servicio de limpieza. características de exterior: cisterna garaje jardín patio terraza sistrema de riego automático circuito cerrado fraccionamiento privado seguridad 24 horas,"Jurica Misiones, Colonia Jurica Misiones, C.P. 76226",SN,76226,Mexico,Querétaro,Querétaro,3,6,250,TRUE,TRUE,Casa,Propiedades,20.6766532,100.456387,"5,500,000","https://propiedadescom.s3.amazonaws.com/files/original/jurica-misiones-queretaro-queretaro-25348110-foto-02.jpg,https://propiedadescom.s3.amazonaws.com/files/original/jurica-misiones-queretaro-queretaro-25348110-foto-03.jpg,https://propiedadescom.s3.amazonaws.com/files/original/jurica-misiones-queretaro-queretaro-25348110-foto-06.jpg"
Puerta real,"Desarrollo horizontal que ofrece seguridad 24/7, acceso controlado, alberca, palapa, zona de mascotas, areas verdes, todas las casas son independientes, cajones de visitas, ubicación privilegiada.","Av. Puerta Real 19, Fracc. Puerta Real, Querétaro",SN,76913,Mexico,Querétaro,Querétaro,3,3,128,TRUE,TRUE,Casa,Vivanuncios,20.5660529,-100.4422759,"2,345,434","https://img.vivanuncios.com.mx/api/v1/mx-ads/images/2c/2c86af92-db9e-472b-a2a8-e49f081d1231?rule=s-I3.auto,https://img.vivanuncios.com.mx/api/v1/mx-ads/images/83/83c6b3a9-e559-44eb-92b1-0b97a0861c12?rule=s-I3.auto,https://img.vivanuncios.com.mx/api/v1/mx-ads/images/e7/e72d2482-6c9a-4d7b-bbda-831217134c44?rule=s-I3.auto"
Cholul,"Amenidades como una Casa Club con áreas para realizar diversas actividades y compartir momentos increíbles con sus seres queridos, Workcenter, Gym, Terraza techada/ AC, Circuito para deportistas y cancha de Futbol rápido, Basquetbol, y Voleibol. Además de contar con un Parque Recreativo con palapa para Eventos, área de Juegos infantiles, Glamping y Picnic área, y un Huerto Orgánico para plantas aromáticas al aire libre. Con orientación Norte-Sur todas las casas.",S/C,SN,97305,Mexico,Yucatán,Mérida,3,3,363,TRUE,TRUE,Casa,Century21,20.9635144,-89.6973921,"4,070,000","https://cdn.21online.lat/mexico/cache/awsTest1/rc/1rgWCbz1/uploads/106/propiedades/400507/60a413fbeeaf2.png,https://cdn.21online.lat/mexico/cache/awsTest1/rc/CLfGyJo4/uploads/106/propiedades/400507/60a41235d457e.png,https://cdn.21online.lat/mexico/cache/awsTest1/rc/xlomomAI/uploads/106/propiedades/400507/60a412f175c8a.png,https://cdn.21online.lat/mexico/cache/awsTest1/rc/bpzxG1GZ/uploads/106/propiedades/400507/60a4135beb499.png"
Yucatán Country Club,"La Casa Club brinda modernas instalaciones deportivas, recreativas y sociales, que van desde espacios infantiles como una ludoteca y sala de juegos, comodidad y lujo en un exclusivo spa equipado con vapor, sauna y jacuzzi, y entretenimiento al aire libre en relajantes albercas. Estas amenidades y más conforman un ambiente que difícilmente se podrá encontrar en otro lugar de México o el mundo. Los socios podrán disfrutar de restaurantes exclusivos, bares casuales y lounge, cafeterías y una gran variedad de servicios y actividades para cada miembro de la familia.",PASEO DEL JAGUAR,4,97050,Mexico,Yucatán,Mérida,4,4,809,TRUE,TRUE,Casa,Century21,21.1157106,-89.6765261,"19,250,000","https://cdn.21online.lat/mexico/cache/awsTest1/rc/dM52GVyB/uploads/106/propiedades/388088/6022c6ea45706.png,https://cdn.21online.lat/mexico/cache/awsTest1/rc/sYrsVqdR/uploads/106/propiedades/388088/6022c6ee66e37.png,https://cdn.21online.lat/mexico/cache/awsTest1/rc/hUptlbV5/uploads/106/propiedades/388088/6022c6f106b09.png"
